Date of requirement,Region,Country,PET bottle capacity,Type,PET bottle weight (grams),Volume (Million Pieces)
6/4/2019,Asia,China,270ml,Sleek,13.08,45.81
6/4/2019,EUR,Netherlands,16Oz,Standard,15.00,25.61
6/4/2019,EUR,Czech Republic,10.5Oz,Slim,12.85,86.11
6/4/2019,South America,Argentina,8oz Sleek,SLEEK,11.03,19.59
6/4/2019,Asia,Japan,330ml,Standard,12.78,212.68
6/5/2019,South America,Panama,25oz,BIG CAN,24.66,120.41
6/5/2019,EUR,Portugal,8 OZ,SLEEK,11.03,8.82
6/5/2019,EUR,UK,12 OZ,SLEEK,13.79,2.42
6/6/2019,EUR,Czech Republic,12 OZ,Sleek,13.00,9.92
6/6/2019,South America,Brasil,25oz,BIG CAN,24.66,61.79
6/6/2019,South America,Panama,32oz,BIG CAN,27.55,91.07
6/6/2019,EUR,Portugal,50cl,Standard,14.60,34.15
6/6/2019,EUR,Portugal,10.5Oz,Slim,12.85,226.06
6/6/2019,North America,CA,24 OZ,Big Can,22.81,192.69
6/6/2019,South America,Colombia,"56,8cl",Standard,18.20,28.41
6/6/2019,EUR,France,330ml,Standard,12.78,34.92
6/6/2019,EUR,Portugal,25cl,Slim,10.40,121.10
6/6/2019,South America,Chile,16Oz,Standard,15.00,65.36
6/6/2019,South America,Colombia,8oz Sleek,SLEEK,11.03,41.71
6/7/2019,EUR,Czech Republic,10 OZ,SLEEK,12.83,48.40
6/7/2019,South America,Brasil,8 OZ,SLEEK,11.03,45.96
6/7/2019,Asia,Korea,16Oz,Standard,15.00,237.32
6/7/2019,South America,Argentina,44cl,Standard,13.90,172.39
6/7/2019,South America,Peru,12 OZ,SLEEK,13.79,2.28
6/7/2019,South America,Chile,8oz Sleek,SLEEK,11.03,266.15
6/8/2019,South America,Colombia,310ml,Sleek,12.26,58.30
6/8/2019,EUR,Netherlands,330ml,Standard,12.78,19.07
6/8/2019,EUR,Czech Republic,25oz,BIG CAN,24.66,217.32
6/8/2019,EUR,UK,10 OZ,SLEEK,12.83,122.97
6/8/2019,EUR,Belgium,9Oz,Sleek,11.12,167.84
6/9/2019,EUR,Belgium,50cl,Standard,14.60,34.09
6/9/2019,North America,CA,310ml,Sleek,12.26,52.29
6/9/2019,North America,CA,9Oz,Sleek,11.12,125.52
6/9/2019,EUR,Belgium,330ml,Standard,12.78,188.86
6/10/2019,South America,Argentina,9Oz,Sleek,11.12,3.11
6/10/2019,Asia,Japan,16Oz,Standard,15.00,133.72
6/10/2019,EUR,Netherlands,10.5Oz,Slim,12.85,119.16
6/10/2019,Asia,China,10 OZ,SLEEK,12.83,0.67
6/11/2019,EUR,Belgium,44cl,Standard,14.20,16.80
6/11/2019,Asia,China,"56,8cl",Standard,18.20,76.88
6/11/2019,South America,Peru,16 OZ,STANDARD,16.08,28.12
6/11/2019,South America,Panama,24 OZ,Big Can,22.81,74.30
6/11/2019,EUR,Germany,"56,8cl",Standard,18.20,110.51
6/12/2019,South America,Paraguay,12 OZ,SLEEK,13.79,37.90
6/12/2019,EUR,Netherlands,12Oz,Standard,13.00,117.27
6/12/2019,North America,CA,50cl,Standard,14.60,42.92
6/12/2019,Asia,Korea,8oz Sleek,SLEEK,11.03,7.24
6/12/2019,EUR,Portugal,19Oz,Standard,16.56,92.07
6/13/2019,North America,US,12 OZ,STANDARD,13.36,60.46
6/13/2019,North America,US,16 OZ,STANDARD,15.92,178.73
6/13/2019,North America,US,19Oz,Standard,16.56,104.62
6/13/2019,EUR,Portugal,19Oz,Standard,16.56,0.39
6/14/2019,North America,CA,12oz,STANDARD,13.60,4.04
6/14/2019,South America,Colombia,12 OZ,SLEEK,13.79,85.10
6/14/2019,South America,Peru,355ml,Standard,13.09,108.68
6/14/2019,EUR,Germany,44cl,Standard,13.90,25.18
6/14/2019,EUR,Portugal,12 OZ,SLEEK,13.79,8.44
6/14/2019,EUR,UK,270ml,Sleek,13.08,55.07
6/14/2019,South America,Argentina,270ml,Sleek,13.08,83.35
6/14/2019,Asia,China,8 OZ,SLEEK,11.03,119.30
6/14/2019,Asia,Japan,15cl,Slim,8.50,66.63
6/14/2019,South America,Argentina,25 OZ,STANDARD,25.27,49.59
6/15/2019,Asia,China,330ml,Standard,13.00,53.79
6/15/2019,EUR,Belgium,15cl,Slim,8.50,3.68
6/15/2019,Asia,China,25cl,Slim,10.40,24.95
6/15/2019,South America,Brasil,270ml,Sleek,13.08,3.07
6/15/2019,EUR,Belgium,25cl,Slim,10.40,87.43
6/15/2019,EUR,France,270ml,Sleek,13.08,18.10
6/16/2019,EUR,UK,"56,8cl",Standard,18.20,70.19
6/16/2019,North America,US,8 OZ,SLEEK,11.26,30.87
6/16/2019,South America,Chile,12oz Sleek,SLEEK,13.79,138.83
6/16/2019,South America,Panama,8 OZ,SLEEK,11.03,18.69
6/16/2019,EUR,Belgium,310ml,Sleek,12.26,10.35
6/16/2019,Asia,Korea,19Oz,Standard,16.56,134.36
6/16/2019,EUR,UK,16 OZ,STANDARD,16.08,18.35
6/16/2019,EUR,Germany,32oz,BIG CAN,27.55,11.85
6/16/2019,EUR,Netherlands,11Oz,Standard,12.36,205.87
6/16/2019,EUR,Netherlands,10 OZ,SLEEK,12.83,12.73
6/17/2019,South America,Colombia,9Oz,Sleek,11.12,29.17
6/17/2019,North America,CA,12Oz,Standard,13.00,34.51
6/18/2019,EUR,Netherlands,19Oz,Standard,16.56,11.31
6/18/2019,South America,Argentina,10 OZ,SLEEK,12.83,67.93
6/18/2019,South America,Paraguay,10.5Oz,Slim,12.85,22.74
6/18/2019,South America,Brasil,25cl,Slim,10.40,174.29
6/18/2019,EUR,Belgium,33cl,Standard,11.90,30.12
6/19/2019,EUR,Belgium,33cl,Standard,11.90,10.17
6/19/2019,EUR,Portugal,9Oz,Sleek,11.12,73.59
6/19/2019,EUR,France,25 OZ,STANDARD,25.27,195.00
6/19/2019,South America,Brasil,11Oz,Standard,12.36,45.77
6/19/2019,EUR,France,12 OZ,SLEEK,13.79,44.46
6/19/2019,EUR,UK,330ml,Standard,12.78,243.62
6/19/2019,EUR,Netherlands,12oz Sleek,SLEEK,13.79,19.83
6/20/2019,South America,Brasil,32oz,BIG CAN,27.55,98.17
6/20/2019,EUR,Belgium,330ml,Standard,12.78,9.86
6/20/2019,North America,US,25cl,Slim,10.40,23.15
6/20/2019,South America,Colombia,310ml,Sleek,12.26,120.66
6/20/2019,EUR,France,32oz,BIG CAN,27.55,267.83
6/20/2019,EUR,Germany,11 OZ,Standard,13.38,74.34
6/20/2019,EUR,Czech Republic,11 OZ,Standard,13.38,6.27
6/21/2019,EUR,France,16 OZ,Standard,15.13,19.40
6/21/2019,North America,CA,"56,8cl",Standard,18.20,25.59
6/21/2019,South America,Brasil,33cl,Standard,11.90,148.90
6/21/2019,North America,CA,11Oz,Standard,12.36,46.68
6/21/2019,EUR,UK,19Oz,Standard,16.56,124.75
6/21/2019,EUR,Belgium,12oz Sleek,SLEEK,13.79,189.14
6/21/2019,Asia,Japan,15cl,Slim,8.50,1.73
6/21/2019,EUR,Germany,19Oz,Standard,16.56,5.17
6/22/2019,EUR,Belgium,33cl,Sleek,12.00,5.60
6/22/2019,Asia,China,330ml,Standard,13.18,85.27
6/22/2019,North America,CA,16Oz,Standard,15.00,65.36
6/22/2019,Asia,Japan,355ml,Standard,13.09,13.13
6/22/2019,EUR,France,50cl,Standard,14.60,168.96
6/22/2019,South America,Argentina,8 OZ,SLEEK,11.03,182.21
6/22/2019,Asia,Korea,500ml,Standard,16.93,58.30
6/23/2019,EUR,Germany,44cl,Standard,14.20,138.92
6/23/2019,South America,Brasil,25oz,BIG CAN,24.66,20.44
6/23/2019,EUR,UK,44cl,Standard,13.90,42.86
6/24/2019,EUR,Belgium,10.5Oz,Slim,12.85,85.98
6/24/2019,EUR,Belgium,15cl,Slim,8.50,188.02
6/24/2019,South America,Brasil,25oz,BIG CAN,24.66,0.30
6/24/2019,EUR,Belgium,15cl,Slim,8.50,35.26
6/24/2019,EUR,France,330ml,Standard,12.78,7.50
6/24/2019,South America,Paraguay,16Oz,Standard,15.00,20.80
6/25/2019,South America,Colombia,310ml,Sleek,12.26,87.39
6/25/2019,EUR,UK,"56,8cl",Standard,18.20,4.22
6/25/2019,EUR,Germany,50cl,Standard,14.60,155.25
6/26/2019,EUR,Portugal,270ml,Sleek,13.08,66.95
6/26/2019,EUR,UK,330ml,Standard,12.78,106.69
6/26/2019,North America,CA,12oz Sleek,SLEEK,13.79,155.24
6/26/2019,Asia,Korea,330ml,Standard,12.78,203.72
6/27/2019,EUR,France,8oz Sleek,SLEEK,11.03,137.11
6/27/2019,South America,Colombia,11 OZ,Standard,13.38,5.77
6/27/2019,South America,Paraguay,"56,8cl",Standard,18.20,57.21
6/27/2019,North America,US,500ml,Standard,16.93,119.05
6/27/2019,South America,Chile,"56,8cl",Standard,18.20,224.26
6/27/2019,North America,US,355ml,Standard,13.09,47.92
6/28/2019,South America,Paraguay,9Oz,Sleek,11.12,50.39
6/28/2019,South America,Brasil,10 OZ,SLEEK,12.83,19.81
6/29/2019,EUR,UK,44cl,Standard,13.90,8.63
6/29/2019,EUR,Spain,50cl,Standard,14.60,27.65
6/29/2019,EUR,France,15cl,Slim,8.50,15.66
6/29/2019,Asia,China,10 OZ,SLEEK,12.83,4.48
6/30/2019,EUR,Belgium,44cl,Standard,13.90,90.81
6/30/2019,North America,CA,19Oz,Standard,16.56,219.45
6/30/2019,EUR,Czech Republic,24 OZ,Big Can,22.81,83.47
6/30/2019,Asia,Japan,11Oz,Standard,12.36,27.10
6/30/2019,South America,Peru,355ml,Standard,13.09,132.41
6/30/2019,EUR,Germany,10 OZ,SLEEK,12.83,34.22
7/1/2019,South America,Brasil,9Oz,Sleek,11.25,77.09
7/1/2019,North America,CA,16oz,STANDARD,15.82,6.05
7/1/2019,EUR,Belgium,270ml,Sleek,13.08,133.67
7/1/2019,EUR,Czech Republic,16 OZ,STANDARD,16.08,38.34
7/1/2019,Asia,Japan,500ml,Standard,16.93,114.03
7/1/2019,South America,Chile,8 OZ,SLEEK,11.03,79.15
7/1/2019,South America,Chile,11Oz,Standard,12.36,0.84
7/2/2019,EUR,Belgium,33cl,Sleek,12.40,15.73
7/2/2019,South America,Paraguay,270ml,Sleek,13.08,179.73
7/2/2019,EUR,Portugal,"56,8cl",Standard,18.20,38.45
7/2/2019,South America,Argentina,10.5Oz,Slim,12.85,64.33
7/2/2019,South America,Peru,44cl,Standard,13.90,47.82
7/3/2019,EUR,Belgium,50cl,Standard,15.80,11.40
7/3/2019,North America,US,12 OZ,STANDARD,13.48,118.41
7/3/2019,EUR,UK,310ml,Sleek,12.26,63.08
7/3/2019,South America,Chile,11 OZ,Standard,13.38,51.39
7/3/2019,EUR,Germany,44cl,Standard,13.90,90.92
7/4/2019,South America,Argentina,11 OZ,Standard,13.38,97.69
7/4/2019,South America,Panama,33cl,Standard,11.90,17.39
7/4/2019,Asia,Japan,10 OZ,SLEEK,12.83,112.92
7/4/2019,South America,Argentina,8 OZ,SLEEK,11.03,125.72
7/5/2019,EUR,Belgium,33cl,Standard,11.90,9.09
7/5/2019,North America,US,16 OZ,STANDARD,16.08,18.85
7/5/2019,EUR,Czech Republic,16 OZ,STANDARD,16.08,43.31
7/5/2019,Asia,Japan,"56,8cl",Standard,18.20,22.62
7/5/2019,EUR,Portugal,11 OZ,Standard,13.38,17.31
7/5/2019,South America,Argentina,24 OZ,Big Can,22.81,189.52
7/6/2019,EUR,Czech Republic,16 OZ,Standard,15.05,162.34
7/6/2019,EUR,Spain,"56,8cl",Standard,18.20,31.14
7/6/2019,South America,Panama,12oz Sleek,SLEEK,13.79,63.51
7/6/2019,South America,Panama,12oz Sleek,SLEEK,13.79,56.03
7/7/2019,EUR,Belgium,"56,8cl",Standard,18.20,60.23
7/8/2019,EUR,Belgium,50cl,Standard,2.50,39.38
7/8/2019,EUR,UK,33cl,Standard,11.90,239.08
7/8/2019,North America,US,25 OZ,STANDARD,24.66,80.82
7/8/2019,South America,Brasil,8oz Sleek,SLEEK,11.03,50.85
7/9/2019,South America,Peru,270ml,Sleek,13.08,76.86
7/9/2019,EUR,Spain,8 OZ,SLEEK,11.03,64.61
7/9/2019,North America,US,50cl,Standard,14.60,5.25
7/9/2019,EUR,France,16Oz,Standard,15.00,15.81
7/9/2019,South America,Peru,10 OZ,SLEEK,12.83,80.65
7/9/2019,EUR,Portugal,44cl,Standard,13.90,83.68
7/9/2019,EUR,Germany,33cl,Standard,11.90,31.99
7/10/2019,South America,Chile,12 OZ,SLEEK,13.79,186.56
7/10/2019,EUR,UK,10.5Oz,Slim,12.85,24.89
7/10/2019,EUR,France,"56,8cl",Standard,18.20,31.51
7/10/2019,EUR,Czech Republic,50cl,Standard,14.60,8.38
7/10/2019,South America,Paraguay,25 OZ,STANDARD,25.27,31.30
7/10/2019,North America,CA,310ml,Sleek,12.26,23.79
7/10/2019,South America,Argentina,9Oz,Sleek,11.12,166.61
7/11/2019,South America,Chile,12Oz,Standard,13.00,43.27
7/11/2019,Asia,Korea,270ml,Sleek,13.08,16.76
7/11/2019,South America,Panama,10 OZ,SLEEK,12.83,24.39
7/11/2019,South America,Peru,500ml,Standard,16.93,89.51
7/12/2019,EUR,Netherlands,330ml,Standard,12.78,61.75
7/12/2019,EUR,UK,33cl,Standard,11.90,90.44
7/12/2019,South America,Panama,19Oz,Standard,16.56,114.48
7/12/2019,EUR,France,310ml,Sleek,12.26,114.49
7/12/2019,Asia,Japan,11 OZ,Standard,13.38,4.62
7/13/2019,EUR,UK,44cl,Standard,14.20,35.33
7/13/2019,EUR,Portugal,16Oz,Standard,15.00,16.78
7/13/2019,EUR,France,11 OZ,Standard,13.38,38.08
7/13/2019,EUR,Belgium,310ml,Sleek,12.26,52.40
7/13/2019,North America,US,44cl,Standard,13.90,147.54
7/13/2019,South America,Brasil,25 OZ,STANDARD,25.27,2.44
7/13/2019,South America,Argentina,9Oz,Sleek,11.12,46.66
7/13/2019,EUR,France,15cl,Slim,8.50,86.66
7/14/2019,South America,Paraguay,16 OZ,STANDARD,16.08,142.79
7/14/2019,South America,Peru,"56,8cl",Standard,18.20,122.04
7/14/2019,EUR,Netherlands,9Oz,Sleek,11.12,7.13
7/14/2019,South America,Colombia,8oz Sleek,SLEEK,11.03,118.79
7/14/2019,South America,Peru,12oz Sleek,SLEEK,13.79,65.55
7/14/2019,EUR,Germany,16 OZ,STANDARD,16.08,19.39
7/14/2019,South America,Colombia,330ml,Standard,12.78,62.56
7/14/2019,EUR,UK,11 OZ,Standard,13.38,27.90
7/14/2019,EUR,UK,44cl,Standard,13.90,117.88
7/15/2019,EUR,Portugal,12oz Sleek,SLEEK,13.79,101.68
7/15/2019,EUR,France,12oz Sleek,SLEEK,13.79,228.43
7/16/2019,Asia,China,330ml,Standard,13.08,38.45
7/16/2019,North America,US,12 OZ,SLEEK,13.62,117.80
7/16/2019,EUR,Czech Republic,24 OZ,Big Can,22.81,18.17
7/16/2019,South America,Paraguay,15cl,Slim,8.50,12.23
7/16/2019,EUR,France,355ml,Standard,13.09,5.04
7/16/2019,EUR,Netherlands,16 OZ,STANDARD,16.08,120.05
7/16/2019,EUR,Belgium,"56,8cl",Standard,18.20,1.96
7/16/2019,Asia,Japan,500ml,Standard,16.93,26.97
7/17/2019,EUR,Czech Republic,500ml,Standard,16.93,25.24
7/17/2019,EUR,Spain,32oz,BIG CAN,27.55,7.97
7/17/2019,EUR,Belgium,19Oz,Standard,16.56,110.79
7/17/2019,EUR,Belgium,50cl,Standard,14.60,27.86
7/18/2019,EUR,Germany,33cl,Standard,11.90,154.92
7/18/2019,South America,Colombia,24 OZ,Big Can,22.81,214.44
7/18/2019,North America,CA,8oz Sleek,SLEEK,11.03,60.23
7/18/2019,EUR,Netherlands,11Oz,Standard,12.36,99.70
7/19/2019,South America,Chile,33cl,Standard,11.90,131.89
7/19/2019,EUR,Netherlands,270ml,Sleek,13.08,62.33
7/19/2019,EUR,UK,9Oz,Sleek,11.12,68.21
7/19/2019,EUR,Portugal,11 OZ,Standard,13.38,60.78
7/20/2019,Asia,China,330ml,Standard,13.20,127.28
7/20/2019,South America,Panama,330ml,Standard,12.78,16.07
7/20/2019,North America,US,12 OZ,SLEEK,13.79,18.49
7/20/2019,EUR,France,16 OZ,STANDARD,16.08,105.18
7/20/2019,EUR,Netherlands,11 OZ,Standard,13.38,26.14
7/21/2019,EUR,Belgium,50cl,Standard,2.50,42.53
7/21/2019,South America,Paraguay,16Oz,Standard,14.59,195.22
7/21/2019,EUR,Czech Republic,270ml,Sleek,13.08,111.46
7/21/2019,South America,Argentina,8oz Sleek,SLEEK,11.03,28.63
7/21/2019,Asia,China,32oz,BIG CAN,27.55,112.93
7/21/2019,North America,US,44cl,Standard,13.90,125.63
7/22/2019,Asia,China,500ml,Standard,16.00,32.97
7/22/2019,EUR,Czech Republic,15cl,Slim,8.50,63.04
7/22/2019,EUR,UK,10.5Oz,Slim,12.85,22.16
7/22/2019,Asia,Korea,32oz,BIG CAN,27.55,45.61
7/22/2019,South America,Panama,355ml,Standard,13.09,18.99
7/23/2019,North America,CA,16oz,STANDARD,15.82,149.51
7/23/2019,Asia,Korea,10.5Oz,Slim,12.85,3.50
7/23/2019,EUR,Czech Republic,10 OZ,SLEEK,12.83,35.26
7/23/2019,South America,Chile,8oz Sleek,SLEEK,11.03,21.32
7/23/2019,EUR,Germany,8 OZ,SLEEK,11.03,212.49
7/24/2019,EUR,Portugal,25cl,Slim,10.40,125.11
7/24/2019,South America,Peru,50cl,Standard,14.60,1.04
7/24/2019,South America,Peru,50cl,Standard,14.60,14.48
7/24/2019,North America,CA,355ml,Standard,13.09,11.46
7/24/2019,South America,Peru,8 OZ,SLEEK,11.03,46.92
7/25/2019,South America,Colombia,270ml,Sleek,13.08,15.81
7/25/2019,South America,Chile,16Oz,Standard,15.00,50.31
7/25/2019,EUR,France,8 OZ,SLEEK,11.03,31.20
7/25/2019,EUR,Portugal,"56,8cl",Standard,18.20,216.43
7/25/2019,South America,Argentina,10.5Oz,Slim,12.85,99.03
7/25/2019,EUR,Portugal,12 OZ,SLEEK,13.79,43.51
7/25/2019,North America,CA,8oz Sleek,SLEEK,11.03,91.25
7/25/2019,EUR,Czech Republic,25oz,BIG CAN,24.66,40.70
7/26/2019,Asia,China,330ml,Standard,13.55,41.87
7/26/2019,South America,Chile,44cl,Standard,13.90,178.82
7/26/2019,South America,Paraguay,10 OZ,SLEEK,12.83,20.16
7/26/2019,EUR,UK,44cl,Standard,13.90,158.29
7/26/2019,Asia,Japan,12 OZ,SLEEK,13.79,14.16
7/26/2019,South America,Colombia,24 OZ,Big Can,22.81,124.98
7/26/2019,EUR,Portugal,25oz,BIG CAN,24.66,51.54
7/27/2019,Asia,China,330ml,Standard,13.55,11.22
7/27/2019,EUR,Portugal,12Oz,Standard,13.61,57.65
7/27/2019,South America,Peru,19Oz,Standard,16.56,130.46
7/27/2019,EUR,Germany,12Oz,Standard,13.00,11.73
7/27/2019,EUR,Germany,10.5Oz,Slim,12.85,9.36
7/27/2019,South America,Colombia,32oz,BIG CAN,27.55,69.60
7/27/2019,EUR,Netherlands,32oz,BIG CAN,27.55,53.94
7/28/2019,EUR,UK,50cl,Standard,2.50,48.90
7/28/2019,Asia,Japan,25cl,Slim,10.40,158.94
7/29/2019,Asia,Korea,15cl,Slim,8.50,12.18
7/29/2019,EUR,Germany,355ml,Standard,13.09,66.57
7/29/2019,EUR,Belgium,33cl,Standard,11.90,176.83
7/29/2019,South America,Panama,24 OZ,Big Can,22.81,13.16
7/30/2019,North America,CA,12oz,STANDARD,13.65,42.30
7/30/2019,EUR,Germany,10 OZ,SLEEK,12.83,69.70
7/30/2019,South America,Argentina,330ml,Standard,12.78,48.78
7/30/2019,EUR,Germany,11 OZ,Standard,13.38,19.74
7/30/2019,Asia,Japan,330ml,Standard,12.78,102.82
7/30/2019,North America,US,10 OZ,SLEEK,12.83,62.47
7/30/2019,EUR,UK,8oz Sleek,SLEEK,11.03,72.26
7/30/2019,Asia,China,25cl,Slim,10.40,21.09
7/30/2019,South America,Colombia,19Oz,Standard,16.56,38.25
7/31/2019,North America,US,12 OZ,STANDARD,13.48,124.05
7/31/2019,South America,Peru,25 OZ,STANDARD,25.27,5.51
7/31/2019,EUR,Czech Republic,32oz,BIG CAN,27.55,35.56
7/31/2019,EUR,Belgium,355ml,Standard,13.09,9.03
7/31/2019,South America,Chile,24 OZ,Big Can,22.81,62.06
8/1/2019,North America,CA,16oz,STANDARD,15.82,152.90
8/1/2019,EUR,Netherlands,50cl,Standard,14.60,19.02
8/1/2019,North America,US,"56,8cl",Standard,18.20,205.81
8/1/2019,Asia,Japan,310ml,Sleek,12.26,30.48
8/2/2019,EUR,UK,44cl,Standard,14.20,235.71
8/2/2019,South America,Panama,9Oz,Sleek,11.12,5.65
8/2/2019,EUR,UK,50cl,Standard,14.60,10.50
8/3/2019,Asia,China,330ml,Standard,13.00,155.60
8/3/2019,South America,Panama,11 OZ,Standard,13.38,19.49
8/3/2019,Asia,Korea,355ml,Standard,13.09,87.85
8/3/2019,North America,CA,8 OZ,SLEEK,11.03,33.15
8/3/2019,EUR,Portugal,8 OZ,SLEEK,11.03,90.72
8/3/2019,EUR,Portugal,10 OZ,SLEEK,12.83,2.66
8/3/2019,Asia,China,10.5Oz,Slim,12.85,29.06
8/4/2019,South America,Paraguay,12Oz,Standard,13.00,98.36
8/4/2019,South America,Peru,33cl,Standard,11.90,190.46
8/4/2019,EUR,Czech Republic,33cl,Standard,11.90,3.91
8/4/2019,EUR,Czech Republic,500ml,Standard,16.93,45.72
8/4/2019,Asia,Japan,10 OZ,SLEEK,12.83,53.42
8/4/2019,Asia,Japan,9Oz,Sleek,11.12,39.94
8/4/2019,South America,Paraguay,25 OZ,STANDARD,25.27,120.54
8/4/2019,North America,CA,25oz,BIG CAN,24.66,20.53
8/4/2019,South America,Chile,310ml,Sleek,12.26,62.32
8/4/2019,EUR,Czech Republic,25cl,Slim,10.40,116.85
8/5/2019,North America,US,12 OZ,STANDARD,13.62,32.97
8/5/2019,EUR,Czech Republic,16 OZ,STANDARD,16.08,18.29
8/5/2019,North America,CA,12oz Sleek,SLEEK,13.79,69.71
8/5/2019,South America,Colombia,50cl,Standard,14.60,90.95
8/6/2019,North America,CA,12 OZ,SLEEK,13.79,80.19
8/6/2019,South America,Chile,25 OZ,STANDARD,25.27,76.64
8/6/2019,Asia,China,19Oz,Standard,16.56,5.05
8/6/2019,South America,Paraguay,11Oz,Standard,12.36,4.01
8/6/2019,North America,CA,12Oz,Standard,13.00,35.69
8/6/2019,Asia,Japan,24 OZ,Big Can,22.81,73.28
8/6/2019,South America,Panama,24 OZ,Big Can,22.81,61.68
8/6/2019,South America,Peru,10.5Oz,Slim,12.85,56.82
8/7/2019,EUR,Portugal,270ml,Sleek,13.08,27.79
8/7/2019,South America,Panama,10 OZ,SLEEK,12.83,11.84
8/7/2019,EUR,UK,16Oz,Standard,15.00,6.97
8/7/2019,Asia,China,16 OZ,STANDARD,16.08,11.01
8/7/2019,South America,Chile,19Oz,Standard,16.56,207.71
8/7/2019,Asia,China,310ml,Sleek,12.26,97.23
8/7/2019,Asia,Japan,9Oz,Sleek,11.12,139.36
8/8/2019,North America,CA,12oz,STANDARD,13.65,73.35
8/8/2019,EUR,UK,16 OZ,STANDARD,16.08,205.55
8/8/2019,EUR,Belgium,"56,8cl",Standard,18.20,72.47
8/8/2019,EUR,Czech Republic,12oz Sleek,SLEEK,13.79,204.56
8/8/2019,South America,Panama,15cl,Slim,8.50,231.74
8/8/2019,Asia,Korea,25 OZ,STANDARD,25.27,177.11
8/9/2019,North America,CA,16oz,STANDARD,15.82,117.83
8/9/2019,South America,Peru,44cl,Standard,13.90,67.80
8/9/2019,Asia,Korea,500ml,Standard,16.93,127.92
8/9/2019,South America,Paraguay,11 OZ,Standard,13.38,49.42
8/9/2019,Asia,China,24 OZ,Big Can,22.81,180.25
8/9/2019,North America,CA,12oz Sleek,SLEEK,13.79,247.13
8/10/2019,South America,Colombia,12Oz,Standard,13.00,18.71
8/10/2019,North America,CA,32oz,BIG CAN,27.55,16.51
8/10/2019,North America,US,10.5Oz,Slim,12.85,102.48
8/10/2019,North America,US,355ml,Standard,13.09,24.73
8/10/2019,EUR,Belgium,15cl,Slim,8.50,87.38
8/10/2019,EUR,Spain,11 OZ,Standard,13.38,33.96
8/10/2019,EUR,Portugal,25oz,BIG CAN,24.66,154.09
8/10/2019,EUR,Belgium,8oz Sleek,SLEEK,11.03,51.89
8/10/2019,EUR,Portugal,12oz Sleek,SLEEK,13.79,43.54
8/11/2019,EUR,UK,12 OZ,SLEEK,13.79,85.96
8/11/2019,EUR,UK,12 OZ,SLEEK,13.79,2.90
8/11/2019,South America,Colombia,500ml,Standard,16.93,135.43
8/12/2019,EUR,Portugal,24 OZ,Big Can,22.81,39.80
8/12/2019,South America,Panama,330ml,Standard,12.78,56.80
8/12/2019,Asia,Japan,19Oz,Standard,16.56,9.99
8/12/2019,EUR,Germany,32oz,BIG CAN,27.55,173.15
8/12/2019,South America,Peru,8 OZ,SLEEK,11.03,62.63
8/12/2019,EUR,France,12oz Sleek,SLEEK,13.79,72.81
8/13/2019,South America,Chile,25 OZ,STANDARD,25.27,18.51
8/13/2019,South America,Peru,9Oz,Sleek,11.12,75.35
8/13/2019,EUR,UK,25oz,BIG CAN,24.66,184.07
8/13/2019,South America,Peru,24 OZ,Big Can,22.81,151.56
8/14/2019,EUR,Belgium,33cl,Standard,2.50,7.72
8/14/2019,EUR,Spain,24 OZ,Big Can,22.81,5.67
8/14/2019,South America,Brasil,15cl,Slim,8.50,33.14
8/14/2019,EUR,Netherlands,16 OZ,STANDARD,16.08,12.81
8/14/2019,South America,Colombia,330ml,Standard,12.78,30.75
8/14/2019,EUR,UK,12 OZ,SLEEK,13.79,96.41
8/15/2019,North America,US,12 OZ,STANDARD,13.63,54.22
8/15/2019,Asia,Korea,19Oz,Standard,16.56,77.76
8/15/2019,South America,Argentina,16 OZ,STANDARD,16.08,1.10
8/15/2019,EUR,Czech Republic,32oz,BIG CAN,27.55,3.78
8/16/2019,North America,CA,310ml,Sleek,12.26,14.19
8/16/2019,South America,Panama,310ml,Sleek,12.26,0.75
8/16/2019,EUR,Spain,355ml,Standard,13.09,144.31
8/16/2019,Asia,China,19Oz,Standard,16.56,54.21
8/16/2019,Asia,China,15cl,Slim,8.50,88.60
8/16/2019,Asia,Japan,10.5Oz,Slim,12.85,207.05
8/16/2019,South America,Panama,15cl,Slim,8.50,15.81
8/16/2019,EUR,Germany,19Oz,Standard,16.56,56.35
8/16/2019,EUR,Portugal,11 OZ,Standard,13.38,11.08
8/16/2019,South America,Brasil,15cl,Slim,8.50,79.78
8/17/2019,EUR,UK,12oz Sleek,SLEEK,13.79,36.63
8/17/2019,Asia,Japan,16Oz,Standard,15.00,210.31
8/17/2019,EUR,France,12Oz,Standard,13.00,23.58
8/17/2019,North America,US,355ml,Standard,13.09,16.22
8/17/2019,North America,US,8oz Sleek,SLEEK,11.03,4.98
8/17/2019,South America,Chile,16Oz,Standard,15.00,93.30
8/17/2019,EUR,UK,33cl,Standard,11.90,26.89
8/18/2019,EUR,UK,44cl,Standard,14.30,49.13
8/18/2019,EUR,Germany,16 OZ,STANDARD,16.08,240.36
8/18/2019,EUR,France,33cl,Standard,11.90,14.94
8/18/2019,Asia,China,330ml,Standard,12.78,43.72
8/19/2019,South America,Panama,9Oz,Sleek,11.12,117.30
8/19/2019,EUR,Czech Republic,330ml,Standard,12.78,108.06
8/19/2019,Asia,Japan,8 OZ,SLEEK,11.03,134.10
8/19/2019,Asia,Japan,50cl,Standard,14.60,58.15
